month,txn_type,txn_count,total_amount
2018-02,Credit,1,7202.45
2018-02,Debit,1,29564.41
2018-03,Credit,3,84444.07
2018-04,Credit,1,8463.85
2018-04,Debit,1,11270.26
2018-05,Debit,2,32981.29
2018-06,Credit,1,13002.72
2018-06,Debit,1,18801.46
2018-07,Debit,1,24758.21
2018-09,Credit,2,70199.53
2018-09,Debit,2,61006.4
2018-10,Credit,1,6098.57
2018-11,Credit,1,6733.9
2018-11,Debit,2,22219.69
2018-12,Debit,1,21156.22
2019-01,Credit,1,8089.37
2019-01,Debit,2,42110.7
2019-02,Debit,2,73435.97
2019-03,Credit,2,68941.84
2019-03,Debit,2,82283.45
2019-04,Debit,3,79282.21
2019-05,Credit,2,68705.65
2019-05,Debit,2,42076.99
2019-06,Credit,1,23421.72
2019-06,Debit,1,38069.03
2019-07,Credit,2,2750.75
2019-07,Debit,1,45635.56
2019-08,Credit,3,51966.94
2019-08,Debit,2,55443.06
2019-09,Credit,1,46127.13
2019-09,Debit,2,35029.26
2019-10,Credit,3,58383.47
2019-10,Debit,1,29181.34
2019-11,Credit,1,8784.99
2019-11,Debit,2,64140.34
2019-12,Credit,4,72421.72
2019-12,Debit,4,98397.78
2020-01,Credit,3,86273.12
2020-01,Debit,3,62918.9
2020-02,Debit,1,19335.22
2020-03,Credit,2,56200.55
2020-04,Credit,2,50091.63
2020-04,Debit,1,11719.89
2020-05,Credit,2,47050.01
2020-05,Debit,2,61180.69
2020-06,Credit,4,83618.26
2020-06,Debit,3,58841.45
2020-07,Credit,6,169363.53
2020-07,Debit,5,110535.93
2020-08,Credit,5,116260.27
2020-08,Debit,4,111017.09
2020-09,Debit,1,35413.99
2020-10,Credit,4,84537.88
2020-10,Debit,6,163790.42
2020-11,Credit,2,46564.44
2020-11,Debit,1,5043.31
2020-12,Credit,4,64729.21
2021-01,Credit,6,206231.25
2021-01,Debit,3,68882.45
2021-02,Credit,4,105671.16
2021-02,Debit,6,212626.99
2021-03,Credit,3,93433.38
2021-03,Debit,6,142385.35
2021-04,Credit,4,121410.58
2021-04,Debit,5,126811.85
2021-05,Credit,4,115287.14
2021-05,Debit,2,26614.95
2021-06,Credit,3,85481.18
2021-06,Debit,6,128422.66
2021-07,Credit,2,22922.12
2021-07,Debit,3,62659.24
2021-08,Credit,5,118616.13
2021-08,Debit,5,83760.28
2021-09,Credit,3,35983.89
2021-09,Debit,4,103956.7
2021-10,Credit,5,121598.58
2021-10,Debit,5,148636.02
2021-11,Credit,3,91249.26
2021-11,Debit,4,139272.14
2021-12,Credit,2,64136.84
2021-12,Debit,6,163861.91
2022-01,Credit,6,146362.64
2022-01,Debit,10,310978.97
2022-02,Credit,3,69719.21
2022-02,Debit,4,171089.96
2022-03,Credit,3,35735.29
2022-03,Debit,6,74584.3
2022-04,Credit,6,127113.93
2022-04,Debit,3,79381.32
2022-05,Credit,10,252308.01
2022-05,Debit,6,190732.68
2022-06,Credit,6,113761.61
2022-06,Debit,9,225751.48
2022-07,Debit,5,93925.05
2022-08,Credit,5,146027.12
2022-08,Debit,2,40743.46
2022-09,Credit,8,197277.45
2022-09,Debit,3,63421.89
2022-10,Credit,9,251712.15
2022-10,Debit,6,174814.71
2022-11,Credit,10,235375.29
2022-11,Debit,9,168253.15
2022-12,Credit,5,93675.96
2022-12,Debit,5,72393.31
2023-01,Credit,2,51671.56
2023-01,Debit,9,265449.64
2023-02,Credit,4,117027.11
2023-02,Debit,12,335332.05
2023-03,Credit,9,204041.1
2023-03,Debit,9,207965.12
2023-04,Credit,7,213064.36
2023-04,Debit,3,101539.68
2023-05,Credit,1,47113.85
2023-05,Debit,3,98779.04
2023-06,Credit,5,67971.01
2023-06,Debit,4,165496.87
2023-07,Credit,6,130607.63
2023-07,Debit,5,89604.99
2023-08,Credit,6,164799.59
2023-08,Debit,4,131454.63
2023-09,Credit,2,53896.15
2023-09,Debit,4,129122.11
2023-10,Credit,5,41167.6
2023-10,Debit,11,226061.34
2023-11,Credit,2,77663.54
2023-11,Debit,5,140499.31
2023-12,Credit,5,121166.01
2023-12,Debit,2,39878.07
2024-01,Credit,5,120409.95
2024-01,Debit,7,229758.52
2024-02,Credit,3,51014.58
2024-02,Debit,7,198841.11
2024-03,Credit,2,57277.8
2024-03,Debit,8,201402.08
2024-04,Credit,6,207448.04
2024-04,Debit,4,100672.36
2024-05,Credit,10,267310.54
2024-05,Debit,7,203773.21
2024-06,Credit,5,79399.81
2024-06,Debit,4,80773.11
2024-07,Credit,2,37551.08
2024-07,Debit,3,91178.31
2024-08,Credit,4,107177.7
2024-08,Debit,7,169972.22
2024-09,Credit,6,97193.44
2024-09,Debit,6,154961.67
2024-10,Credit,5,154370.87
2024-10,Debit,6,156799.94
2024-11,Credit,4,59001.2
2024-11,Debit,4,106316.42
2024-12,Credit,6,132247.74
2024-12,Debit,5,105435.88
2025-01,Credit,6,130820.56
2025-01,Debit,6,184068.75
2025-02,Credit,4,71598.64
2025-02,Debit,4,154884.13
2025-03,Credit,6,163638.5
2025-03,Debit,2,26184.12
2025-04,Credit,6,170265.75
2025-04,Debit,5,123203.5
2025-05,Credit,3,79328.21
2025-05,Debit,5,106970.43
2025-06,Credit,4,83881.92
2025-06,Debit,4,138696.74
2025-07,Credit,5,77584.58
2025-07,Debit,2,54997.5
2025-08,Credit,7,132840.67
2025-08,Debit,3,46000.13
2025-09,Credit,5,120438.53
2025-09,Debit,3,79819.83
2025-10,Credit,5,137352.45
2025-10,Debit,2,40069.96
2025-11,Credit,2,86083.22
2025-11,Debit,5,143225.97
2025-12,Credit,3,84308.83
2025-12,Debit,3,26876.23
2026-01,Credit,1,18420.74
2026-01,Debit,6,169973.94
2026-03,Credit,1,35120.89
2026-03,Debit,1,2394.33
2026-04,Debit,4,96551.79
2026-05,Credit,2,54300.39
2026-05,Debit,1,45994.09
2026-06,Credit,1,38428.57
2026-07,Credit,1,22609.58
2026-07,Debit,4,136461.67
2026-08,Debit,1,6530.29
2026-09,Credit,3,63535.68
2026-09,Debit,3,109158.21
2026-10,Credit,3,36161.26
2026-10,Debit,4,107152.89
2026-11,Credit,1,40699.77
2026-11,Debit,3,80245.66
2026-12,Credit,1,13501.05
2027-01,Credit,1,16814.29
2027-01,Debit,3,97947.58
2027-02,Credit,1,26061.07
2027-02,Debit,2,10537.91
2027-03,Debit,1,35870.94
2027-04,Credit,2,62486.41
2027-04,Debit,3,22846.72
2027-05,Credit,2,55497.34
2027-05,Debit,1,23522.85
2027-07,Debit,1,44232.66
