txn_id,account_id,txn_date,txn_type,category,amount,balance_after,channel,description,status
1,ABL-10000,2024-05-09,Debit,Salary,27459.38,344093.32,Branch,Salary via Branch,Success
2,ABL-10000,2023-08-16,Debit,Loan Payment,48394.04,295699.28,Mobile App,Loan Payment via Mobile App,Success
3,ABL-10000,2023-10-23,Debit,Salary,43219.52,252479.76,Mobile App,Salary via Mobile App,Success
4,ABL-10000,2022-06-16,Debit,Utility Bill,20935.39,231544.37,Mobile App,Utility Bill via Mobile App,Success
5,ABL-10000,2024-05-27,Credit,Insurance,35276.68,266821.05,Mobile App,Insurance via Mobile App,Pending
6,ABL-10000,2022-09-12,Debit,Investment,5886.71,260934.34,Branch,Investment via Branch,Success
7,ABL-10000,2024-05-21,Credit,Loan Payment,16288.84,277223.18,POS,Loan Payment via POS,Success
8,ABL-10000,2022-04-22,Debit,Cash Withdrawal,4043.12,273180.06,ATM,Cash Withdrawal via ATM,Success
9,ABL-10000,2023-06-06,Credit,Loan Payment,20516.58,293696.64,Online,Loan Payment via Online,Success
10,ABL-10000,2021-02-16,Debit,Loan Payment,26755.03,266941.61,Branch,Loan Payment via Branch,Success
11,ABL-10000,2022-10-03,Credit,Cash Withdrawal,30368.92,297310.53,ATM,Cash Withdrawal via ATM,Success
12,ABL-10000,2020-07-01,Credit,Investment,14673.79,311984.32,Branch,Investment via Branch,Success
13,ABL-10000,2024-07-07,Credit,Insurance,36664.26,348648.58,ATM,Insurance via ATM,Success
14,ABL-10000,2022-01-22,Debit,Transfer,16001.89,332646.69,POS,Transfer via POS,Success
15,ABL-10000,2024-09-17,Debit,Loan Payment,25544.79,307101.9,ATM,Loan Payment via ATM,Pending
16,ABL-10000,2020-10-07,Debit,Shopping,45294.25,261807.65,ATM,Shopping via ATM,Success
17,ABL-10000,2024-01-26,Debit,Loan Payment,33427.52,228380.13,POS,Loan Payment via POS,Success
18,ABL-10000,2023-07-21,Debit,Salary,34756.92,193623.21,ATM,Salary via ATM,Failed
19,ABL-10000,2021-06-29,Credit,Salary,39032.16,232655.37,POS,Salary via POS,Success
20,ABL-10000,2021-08-11,Debit,Transfer,19382.45,213272.92,Branch,Transfer via Branch,Success
21,ABL-10000,2023-07-22,Debit,Insurance,5651.41,207621.51,ATM,Insurance via ATM,Success
22,ABL-10000,2021-03-29,Debit,Investment,37349.13,170272.38,Mobile App,Investment via Mobile App,Success
23,ABL-10000,2022-11-14,Debit,Shopping,25966.1,144306.28,Online,Shopping via Online,Success
24,ABL-10000,2021-09-02,Debit,Shopping,4543.12,139763.16,Mobile App,Shopping via Mobile App,Success
25,ABL-10000,2024-10-18,Credit,Cash Withdrawal,23020.38,162783.54,Branch,Cash Withdrawal via Branch,Success
26,ABL-10000,2020-10-08,Credit,Investment,19555.78,182339.32,Mobile App,Investment via Mobile App,Success
27,ABL-10000,2021-04-02,Debit,Cash Withdrawal,49736.2,132603.12,ATM,Cash Withdrawal via ATM,Success
28,ABL-10000,2022-02-02,Debit,Utility Bill,43192.28,89410.84,Mobile App,Utility Bill via Mobile App,Success
29,ABL-10000,2024-06-24,Debit,Transfer,25831.92,63578.92,POS,Transfer via POS,Success
30,ABL-10000,2023-10-23,Credit,Investment,13992.17,77571.09,Mobile App,Investment via Mobile App,Success
31,ABL-10000,2020-04-08,Debit,Investment,11719.89,65851.2,POS,Investment via POS,Success
32,ABL-10000,2021-08-13,Credit,Investment,49467.17,115318.37,Online,Investment via Online,Success
33,ABL-10000,2021-05-15,Credit,Cash Withdrawal,3078.32,118396.69,Mobile App,Cash Withdrawal via Mobile App,Success
34,ABL-10000,2022-06-09,Debit,Salary,29687.29,88709.4,ATM,Salary via ATM,Success
35,ABL-10000,2021-06-21,Debit,Loan Payment,42486.07,46223.33,ATM,Loan Payment via ATM,Pending
36,ABL-10000,2023-04-16,Credit,Shopping,36850.78,83074.11,ATM,Shopping via ATM,Success
37,ABL-10000,2022-09-01,Credit,Transfer,35525.73,118599.84,Branch,Transfer via Branch,Success
38,ABL-10000,2023-04-13,Credit,Transfer,32442.16,151042.0,Online,Transfer via Online,Success
39,ABL-10000,2020-07-31,Debit,Insurance,11779.84,139262.16,Mobile App,Insurance via Mobile App,Success
40,ABL-10000,2021-09-10,Credit,Salary,766.65,140028.81,Online,Salary via Online,Success
41,ABL-10000,2023-02-17,Debit,Salary,48735.17,91293.64,Online,Salary via Online,Success
42,ABL-10000,2023-03-04,Credit,Loan Payment,36005.81,127299.45,ATM,Loan Payment via ATM,Success
43,ABL-10000,2023-04-01,Credit,Cash Withdrawal,38133.25,165432.7,POS,Cash Withdrawal via POS,Success
44,ABL-10000,2024-03-04,Debit,Transfer,40116.63,125316.07,Branch,Transfer via Branch,Success
45,ABL-10000,2019-12-24,Debit,Cash Withdrawal,11552.16,113763.91,Mobile App,Cash Withdrawal via Mobile App,Success
46,ABL-10000,2020-01-10,Debit,Insurance,40512.6,73251.31,Branch,Insurance via Branch,Success
47,ABL-10000,2024-06-04,Credit,Loan Payment,15298.55,88549.86,Online,Loan Payment via Online,Success
48,ABL-10000,2022-05-22,Debit,Investment,45314.19,43235.67,Online,Investment via Online,Success
49,ABL-10000,2020-08-03,Credit,Loan Payment,20249.01,63484.68,ATM,Loan Payment via ATM,Success
50,ABL-10000,2022-12-31,Credit,Shopping,10301.97,73786.65,Mobile App,Shopping via Mobile App,Success
51,ABL-10000,2021-08-14,Debit,Loan Payment,28946.36,44840.29,Mobile App,Loan Payment via Mobile App,Success
52,ABL-10000,2021-10-21,Credit,Investment,36278.93,81119.22,POS,Investment via POS,Success
53,ABL-10000,2021-05-10,Credit,Shopping,39457.61,120576.83,ATM,Shopping via ATM,Success
54,ABL-10000,2023-11-14,Debit,Utility Bill,22384.77,98192.06,Branch,Utility Bill via Branch,Success
55,ABL-10000,2024-05-28,Credit,Investment,2233.7,100425.76,ATM,Investment via ATM,Failed
56,ABL-10000,2022-01-08,Credit,Salary,31493.98,131919.74,Mobile App,Salary via Mobile App,Success
57,ABL-10001,2025-01-06,Debit,Cash Withdrawal,9814.19,214685.27,POS,Cash Withdrawal via POS,Failed
58,ABL-10001,2023-06-04,Debit,Utility Bill,47803.32,166881.95,Online,Utility Bill via Online,Success
59,ABL-10001,2023-04-27,Debit,Loan Payment,49989.21,116892.74,Online,Loan Payment via Online,Success
60,ABL-10001,2025-04-26,Credit,Transfer,28265.48,145158.22,Online,Transfer via Online,Success
61,ABL-10001,2024-11-19,Credit,Utility Bill,9433.6,154591.82,ATM,Utility Bill via ATM,Success
